title,dataset_id,creator,url,last_updated,is_private,description,citation,tabular_files,tabular_total_MB,image_files,medical_image_files,video_files,audio_files,other_files,keep_pre,score_hint,note
heart failure clinical records,nimapourmoradi/heart-failure-clinical-records,,https://www.kaggle.com/datasets/nimapourmoradi/heart-failure-clinical-records,2024-02-10T14:29:36.677Z,,Heart failure clinical records,Kaggle Dataset: heart failure clinical records. Available at: https://www.kaggle.com/datasets/nimapourmoradi/heart-failure-clinical-records,1,0.0,0,0,0,0,0,True,0,
Stroke Prediction Dataset,fedesoriano/stroke-prediction-dataset,,https://www.kaggle.com/datasets/fedesoriano/stroke-prediction-dataset,2021-01-26T19:29:28.887Z,,11 clinical features for predicting stroke events,Kaggle Dataset: Stroke Prediction Dataset. Available at: https://www.kaggle.com/datasets/fedesoriano/stroke-prediction-dataset,1,0.0,0,0,0,0,0,True,0,
COVID-19 Clinical Trials dataset,parulpandey/covid19-clinical-trials-dataset,,https://www.kaggle.com/datasets/parulpandey/covid19-clinical-trials-dataset,2021-04-15T05:29:15.65Z,,Database of COVID-19 related clinical studies being conducted worldwide,Kaggle Dataset: COVID-19 Clinical Trials dataset. Available at: https://www.kaggle.com/datasets/parulpandey/covid19-clinical-trials-dataset,1,0.0,0,0,0,0,19,True,0,
Heart Failure Prediction Dataset,fedesoriano/heart-failure-prediction,,https://www.kaggle.com/datasets/fedesoriano/heart-failure-prediction,2021-09-10T18:11:57.517Z,,11 clinical features for predicting heart disease events.,Kaggle Dataset: Heart Failure Prediction Dataset. Available at: https://www.kaggle.com/datasets/fedesoriano/heart-failure-prediction,1,0.0,0,0,0,0,0,True,0,
Mexico COVID-19 clinical data,marianarfranklin/mexico-covid19-clinical-data,,https://www.kaggle.com/datasets/marianarfranklin/mexico-covid19-clinical-data,2020-06-05T03:26:31.483Z,,Epidemiology data for positive and negative COVID-19 cases in Mexico.,Kaggle Dataset: Mexico COVID-19 clinical data. Available at: https://www.kaggle.com/datasets/marianarfranklin/mexico-covid19-clinical-data,1,0.0,0,0,0,0,0,True,0,
Heart Failure Prediction - Clinical Records 🏥,aadarshvelu/heart-failure-prediction-clinical-records,,https://www.kaggle.com/datasets/aadarshvelu/heart-failure-prediction-clinical-records,2024-05-05T08:19:49.647Z,,Predict the patient will survive or not,Kaggle Dataset: Heart Failure Prediction - Clinical Records 🏥. Available at: https://www.kaggle.com/datasets/aadarshvelu/heart-failure-prediction-clinical-records,1,0.0,0,0,0,0,0,True,0,
Predicting Heart Disease Using Clinical Variables,thedevastator/predicting-heart-disease-risk-using-clinical-var,,https://www.kaggle.com/datasets/thedevastator/predicting-heart-disease-risk-using-clinical-var,2023-01-12T15:40:00.537Z,,A 270-Patient Dataset with 13 Features,Kaggle Dataset: Predicting Heart Disease Using Clinical Variables. Available at: https://www.kaggle.com/datasets/thedevastator/predicting-heart-disease-risk-using-clinical-var,1,0.0,0,0,0,0,0,True,0,
Comprehensive Diabetes Clinical Dataset(100k rows),priyamchoksi/100000-diabetes-clinical-dataset,,https://www.kaggle.com/datasets/priyamchoksi/100000-diabetes-clinical-dataset,2024-07-20T15:11:02.133Z,,"100,000 Diabetes Dataset for Predictive Modeling and Health Analytics",Kaggle Dataset: Comprehensive Diabetes Clinical Dataset(100k rows). Available at: https://www.kaggle.com/datasets/priyamchoksi/100000-diabetes-clinical-dataset,1,0.0,0,0,0,0,0,True,0,
Diabetes Clinical Dataset(100k rows),ziya07/diabetes-clinical-dataset100k-rows,,https://www.kaggle.com/datasets/ziya07/diabetes-clinical-dataset100k-rows,2025-02-07T10:00:56.583Z,,"100,000 Diabetes Dataset for Predictive Modeling and Health Analytics",Kaggle Dataset: Diabetes Clinical Dataset(100k rows). Available at: https://www.kaggle.com/datasets/ziya07/diabetes-clinical-dataset100k-rows,1,0.0,0,0,0,0,0,True,0,
"Clinical, Anthropometric & Bio-Chemical Survey",rajanand/cab-survey,,https://www.kaggle.com/datasets/rajanand/cab-survey,2017-08-08T19:16:18.767Z,,1.89m records & 53 variables of unit level annual health survey data from India.,"Kaggle Dataset: Clinical, Anthropometric & Bio-Chemical Survey. Available at: https://www.kaggle.com/datasets/rajanand/cab-survey",10,0.0,0,0,0,0,0,True,0,
Clinical Trials,thedevastator/a-quick-overview-of-clinical-trials,,https://www.kaggle.com/datasets/thedevastator/a-quick-overview-of-clinical-trials,2022-11-25T07:18:58.833Z,,"13K Clinical trials over the years with start/end dates, phase, funding and more",Kaggle Dataset: Clinical Trials. Available at: https://www.kaggle.com/datasets/thedevastator/a-quick-overview-of-clinical-trials,1,0.0,0,0,0,0,0,True,0,
OCD Patient Dataset: Demographics & Clinical Data,ohinhaque/ocd-patient-dataset-demographics-and-clinical-data,,https://www.kaggle.com/datasets/ohinhaque/ocd-patient-dataset-demographics-and-clinical-data,2023-11-09T19:19:56.307Z,,OCD patients Clinical and Treatment Information for 1500 Individuals,Kaggle Dataset: OCD Patient Dataset: Demographics & Clinical Data. Available at: https://www.kaggle.com/datasets/ohinhaque/ocd-patient-dataset-demographics-and-clinical-data,1,0.0,0,0,0,0,0,True,0,
Clinical Trials on Cancer,auriml/eligibilityforcancerclinicaltrials,,https://www.kaggle.com/datasets/auriml/eligibilityforcancerclinicaltrials,2017-03-05T00:20:25.9Z,,Labeled and processed eligibility criteria for text classification,Kaggle Dataset: Clinical Trials on Cancer. Available at: https://www.kaggle.com/datasets/auriml/eligibilityforcancerclinicaltrials,1,0.0,0,0,0,0,0,True,0,
Genetic Variant Classifications,kevinarvai/clinvar-conflicting,,https://www.kaggle.com/datasets/kevinarvai/clinvar-conflicting,2020-03-24T00:40:20.66Z,,Predict whether a variant will have conflicting clinical classifications.,Kaggle Dataset: Genetic Variant Classifications. Available at: https://www.kaggle.com/datasets/kevinarvai/clinvar-conflicting,1,0.0,0,0,0,0,0,True,0,
COVID-19 International Clinical Trials,panahi/covid-19-international-clinical-trials,,https://www.kaggle.com/datasets/panahi/covid-19-international-clinical-trials,2025-12-15T08:58:11.277Z,,"COVID-19 Clinical Trials from WHO ICTRP, ClinicalTrials.gov, etc.",Kaggle Dataset: COVID-19 International Clinical Trials. Available at: https://www.kaggle.com/datasets/panahi/covid-19-international-clinical-trials,17,0.0,0,0,0,0,3,True,0,
Clinical Parkinson Dataset,rohanpurohit0705/clinical-parkinson-dataset,,https://www.kaggle.com/datasets/rohanpurohit0705/clinical-parkinson-dataset,2025-02-21T03:08:39.07Z,,Clinical Dataset For Parkinson's Disease,Kaggle Dataset: Clinical Parkinson Dataset. Available at: https://www.kaggle.com/datasets/rohanpurohit0705/clinical-parkinson-dataset,1,0.0,0,0,0,0,0,True,0,
Cirrhosis Prediction Dataset,fedesoriano/cirrhosis-prediction-dataset,,https://www.kaggle.com/datasets/fedesoriano/cirrhosis-prediction-dataset,2021-08-02T15:36:59.097Z,,18 clinical features for predicting liver cirrhosis stage,Kaggle Dataset: Cirrhosis Prediction Dataset. Available at: https://www.kaggle.com/datasets/fedesoriano/cirrhosis-prediction-dataset,1,0.0,0,0,0,0,0,True,0,
Polycystic ovary syndrome (PCOS),prasoonkottarathil/polycystic-ovary-syndrome-pcos,,https://www.kaggle.com/datasets/prasoonkottarathil/polycystic-ovary-syndrome-pcos,2020-07-11T07:22:05.313Z,,pcos dataset contains all physical and clinical parameters of patients ,Kaggle Dataset: Polycystic ovary syndrome (PCOS). Available at: https://www.kaggle.com/datasets/prasoonkottarathil/polycystic-ovary-syndrome-pcos,2,0.0,0,0,0,0,0,True,0,
Hospital Clinical Deterioration,tarekmasryo/hospital-deterioration-dataset,,https://www.kaggle.com/datasets/tarekmasryo/hospital-deterioration-dataset,2025-11-29T12:10:43.843Z,,"10,000 realistic hospital admissions in a high-fidelity 72-hour monitoring cohor",Kaggle Dataset: Hospital Clinical Deterioration. Available at: https://www.kaggle.com/datasets/tarekmasryo/hospital-deterioration-dataset,5,0.0,0,0,0,0,1,True,0,
Clinical_GliomaGrading,tanshihjen/clinical-gliomagrading,,https://www.kaggle.com/datasets/tanshihjen/clinical-gliomagrading,2023-12-16T02:47:43.493Z,,TCGA Brain Glioma Grading Dataset,Kaggle Dataset: Clinical_GliomaGrading. Available at: https://www.kaggle.com/datasets/tanshihjen/clinical-gliomagrading,1,0.0,0,0,0,0,0,True,0,
🧠 Brain Tumor Dataset 🧠,waqi786/brain-tumor-dataset,,https://www.kaggle.com/datasets/waqi786/brain-tumor-dataset,2024-08-04T11:52:16.247Z,,MRI Imaging & Clinical Data 📊🔍,Kaggle Dataset: 🧠 Brain Tumor Dataset 🧠. Available at: https://www.kaggle.com/datasets/waqi786/brain-tumor-dataset,1,0.0,0,0,0,0,0,True,0,
Glioma Grading Clinical and Mutation Features,vinayjose/glioma-grading-clinical-and-mutation-features,,https://www.kaggle.com/datasets/vinayjose/glioma-grading-clinical-and-mutation-features,2024-03-06T04:31:47.207Z,,Gliomas are the most common primary tumors of the brain.,Kaggle Dataset: Glioma Grading Clinical and Mutation Features. Available at: https://www.kaggle.com/datasets/vinayjose/glioma-grading-clinical-and-mutation-features,2,0.0,0,0,0,0,0,True,0,
Clinical Dataset,uom190346a/synthetic-clinical-tabular-dataset,,https://www.kaggle.com/datasets/uom190346a/synthetic-clinical-tabular-dataset,2025-08-22T15:10:04.887Z,,Clinical dataset mimicking real-world patient records,Kaggle Dataset: Clinical Dataset. Available at: https://www.kaggle.com/datasets/uom190346a/synthetic-clinical-tabular-dataset,1,0.0,0,0,0,0,0,True,0,
Predict Liver Cancer from  & Clinical Features,miadul/predict-liver-cancer-from-and-clinical-features,,https://www.kaggle.com/datasets/miadul/predict-liver-cancer-from-and-clinical-features,2025-07-29T01:04:28.89Z,,,Kaggle Dataset: Predict Liver Cancer from  & Clinical Features. Available at: https://www.kaggle.com/datasets/miadul/predict-liver-cancer-from-and-clinical-features,1,0.0,0,0,0,0,0,True,0,
Breast Cancer (METABRIC),gunesevitan/breast-cancer-metabric,,https://www.kaggle.com/datasets/gunesevitan/breast-cancer-metabric,2020-12-23T17:22:56.767Z,,"Clinical profiles of 2,509 breast cancer patients",Kaggle Dataset: Breast Cancer (METABRIC). Available at: https://www.kaggle.com/datasets/gunesevitan/breast-cancer-metabric,1,0.0,0,0,0,0,0,True,0,
MIMIC-III - Deep Reinforcement Learning ,asjad99/mimiciii,,https://www.kaggle.com/datasets/asjad99/mimiciii,2022-04-07T05:20:24.063Z,,Clinical Decision Support System for Sepsis Management in Emergency care,Kaggle Dataset: MIMIC-III - Deep Reinforcement Learning . Available at: https://www.kaggle.com/datasets/asjad99/mimiciii,20,0.0,0,0,0,0,0,True,0,
Predicting Heart Failure,whenamancodes/heart-failure-clinical-records,,https://www.kaggle.com/datasets/whenamancodes/heart-failure-clinical-records,2022-09-13T09:46:36.553Z,,Heart Failure Clinical Records Data Set,Kaggle Dataset: Predicting Heart Failure. Available at: https://www.kaggle.com/datasets/whenamancodes/heart-failure-clinical-records,1,0.0,0,0,0,0,0,True,0,
Ongoing clinical trials in Estonia,olaflundstrom/ongoing-clinical-trials-in-estonia,,https://www.kaggle.com/datasets/olaflundstrom/ongoing-clinical-trials-in-estonia,2024-12-30T12:52:21.13Z,,"The dataset includes information on study sponsors, titles, specialties, and etc",Kaggle Dataset: Ongoing clinical trials in Estonia. Available at: https://www.kaggle.com/datasets/olaflundstrom/ongoing-clinical-trials-in-estonia,2,0.0,0,0,0,0,0,True,0,
Covid-19 Clinical Trials data,nailasrivastava/covid-19-clinical-trials-data,,https://www.kaggle.com/datasets/nailasrivastava/covid-19-clinical-trials-data,2025-05-28T12:44:23.827Z,,😷 Covid-19 Clinical Trials: What the World Tested and When,Kaggle Dataset: Covid-19 Clinical Trials data. Available at: https://www.kaggle.com/datasets/nailasrivastava/covid-19-clinical-trials-data,2,0.0,0,0,0,0,0,True,0,
BCG - COVID-19 AI Challenge,bcgvaccine/hackathon,,https://www.kaggle.com/datasets/bcgvaccine/hackathon,2020-11-11T08:04:24.883Z,,"Improve BCG Data and Provide Insights to ""BCG - COVID-19"" Clinical Trials",Kaggle Dataset: BCG - COVID-19 AI Challenge. Available at: https://www.kaggle.com/datasets/bcgvaccine/hackathon,20,0.0,0,0,0,0,0,True,0,
Clinical Documents on Syndromes Disease,muhammadimran112233/clinical-documents-on-syndromes-disease,,https://www.kaggle.com/datasets/muhammadimran112233/clinical-documents-on-syndromes-disease,2021-08-10T09:35:50.463Z,,Name Entity Recognition of Clinical Documents on Syndromes Disease,Kaggle Dataset: Clinical Documents on Syndromes Disease. Available at: https://www.kaggle.com/datasets/muhammadimran112233/clinical-documents-on-syndromes-disease,20,0.0,0,0,0,0,0,True,0,
Clinical Dataset of the CYP-GUIDES Trial,shashwatwork/clinical-dataset-of-the-cypguides-trial,,https://www.kaggle.com/datasets/shashwatwork/clinical-dataset-of-the-cypguides-trial,2021-02-20T07:44:37.177Z,,Cytochrome Psychotropic Genotyping Under Investigation for Decision Support Data,Kaggle Dataset: Clinical Dataset of the CYP-GUIDES Trial. Available at: https://www.kaggle.com/datasets/shashwatwork/clinical-dataset-of-the-cypguides-trial,4,0.0,0,0,0,0,0,True,0,
Polycystic Ovary Syndrome PCOS,lucass0s0/polycystic-ovary-syndrome-pcos,,https://www.kaggle.com/datasets/lucass0s0/polycystic-ovary-syndrome-pcos,2025-04-14T12:14:58.85Z,,Synthetic Clinical Data Analysis of Patients with Polycystic Ovary Syndrome ,Kaggle Dataset: Polycystic Ovary Syndrome PCOS. Available at: https://www.kaggle.com/datasets/lucass0s0/polycystic-ovary-syndrome-pcos,1,0.0,0,0,0,0,0,True,0,
Anxiety and Depression Psychological Therapies ,mpwolke/cusersmarildownloadsanxietycsv,,https://www.kaggle.com/datasets/mpwolke/cusersmarildownloadsanxietycsv,2020-04-28T19:31:38.023Z,,National Clinical Audit of Anxiety and Depression - UK,Kaggle Dataset: Anxiety and Depression Psychological Therapies . Available at: https://www.kaggle.com/datasets/mpwolke/cusersmarildownloadsanxietycsv,1,0.0,0,0,0,0,0,True,0,
Heart Failure Prediction,bhavikjikadara/heart-failure-prediction,,https://www.kaggle.com/datasets/bhavikjikadara/heart-failure-prediction,2023-12-19T05:31:12.513Z,,There are  given 13 clinical features for Heart failure prediction,Kaggle Dataset: Heart Failure Prediction. Available at: https://www.kaggle.com/datasets/bhavikjikadara/heart-failure-prediction,1,0.0,0,0,0,0,0,True,0,
Coimbra_BreastCancer,tanshihjen/coimbra-breastcancer,,https://www.kaggle.com/datasets/tanshihjen/coimbra-breastcancer,2023-12-05T01:19:14.647Z,,Breast Cancer Study: Clinical Insights from 64 Patients and 52 Healthy Controls,Kaggle Dataset: Coimbra_BreastCancer. Available at: https://www.kaggle.com/datasets/tanshihjen/coimbra-breastcancer,1,0.0,0,0,0,0,0,True,0,
COVID-19 Clinical Trials,rtwillett/covid19-clinical-trials,,https://www.kaggle.com/datasets/rtwillett/covid19-clinical-trials,2022-06-26T20:01:28.73Z,,Data for the COVID-19 clinical trials registered in the US,Kaggle Dataset: COVID-19 Clinical Trials. Available at: https://www.kaggle.com/datasets/rtwillett/covid19-clinical-trials,1,0.0,0,0,0,0,0,True,0,
IntroDS,rouzbeh/introds,,https://www.kaggle.com/datasets/rouzbeh/introds,2023-09-07T16:40:48.8Z,,Simple clinical dataset for patients and prescribed drugs.,Kaggle Dataset: IntroDS. Available at: https://www.kaggle.com/datasets/rouzbeh/introds,1,0.0,0,0,0,0,0,True,0,
Brain cancer clinical and proteomic data,leilahasan/brain-cancer-clinical-and-proteomic-data,,https://www.kaggle.com/datasets/leilahasan/brain-cancer-clinical-and-proteomic-data,2023-09-07T15:40:36.837Z,,Diffuse gliomas represent 80% of malignant brain tumors.,Kaggle Dataset: Brain cancer clinical and proteomic data. Available at: https://www.kaggle.com/datasets/leilahasan/brain-cancer-clinical-and-proteomic-data,1,0.0,0,0,0,0,0,True,0,
Clinical trials in the recruitment Estonia,olaflundstrom/clinical-trials-in-the-recruitment-estonia,,https://www.kaggle.com/datasets/olaflundstrom/clinical-trials-in-the-recruitment-estonia,2024-12-30T17:52:11.693Z,,Estonian clinical trials recruiting patients for new medicines.,Kaggle Dataset: Clinical trials in the recruitment Estonia. Available at: https://www.kaggle.com/datasets/olaflundstrom/clinical-trials-in-the-recruitment-estonia,2,0.0,0,0,0,0,0,True,0,
Kidney Disease Dataset,amanik000/kidney-disease-dataset,,https://www.kaggle.com/datasets/amanik000/kidney-disease-dataset,2025-04-14T13:08:24.217Z,,A Comprehensive Clinical Dataset for Chronic Kidney Disease Analysis and Predict,Kaggle Dataset: Kidney Disease Dataset. Available at: https://www.kaggle.com/datasets/amanik000/kidney-disease-dataset,1,0.0,0,0,0,0,0,True,0,
Maternal Health and High-Risk Pregnancy Dataset,vmohammedraiyyan/maternal-health-and-high-risk-pregnancy-dataset,,https://www.kaggle.com/datasets/vmohammedraiyyan/maternal-health-and-high-risk-pregnancy-dataset,2025-07-24T12:51:24.187Z,,Tracking the Hidden Risks: A Clinical Dataset for Maternal Health Monitoring,Kaggle Dataset: Maternal Health and High-Risk Pregnancy Dataset. Available at: https://www.kaggle.com/datasets/vmohammedraiyyan/maternal-health-and-high-risk-pregnancy-dataset,1,0.0,0,0,0,0,0,True,0,
Coronavirus Clinical Trials Dataset,zohrarezgui/coronavirus-clinical-trials-dataset,,https://www.kaggle.com/datasets/zohrarezgui/coronavirus-clinical-trials-dataset,2020-03-28T18:32:21.103Z,,Downloaded data from clinicaltrials.gov,Kaggle Dataset: Coronavirus Clinical Trials Dataset. Available at: https://www.kaggle.com/datasets/zohrarezgui/coronavirus-clinical-trials-dataset,1,0.0,0,0,0,0,0,True,0,
Heart Failure Clinical Records Dataset,rithikkotha/heart-failure-clinical-records-dataset,,https://www.kaggle.com/datasets/rithikkotha/heart-failure-clinical-records-dataset,2021-07-29T09:20:50.923Z,,,Kaggle Dataset: Heart Failure Clinical Records Dataset. Available at: https://www.kaggle.com/datasets/rithikkotha/heart-failure-clinical-records-dataset,1,0.0,0,0,0,0,0,True,0,
Alzheimer's clinical data,legendahmed/alzheimers-clinical-data,,https://www.kaggle.com/datasets/legendahmed/alzheimers-clinical-data,2020-04-02T13:41:18.267Z,,,Kaggle Dataset: Alzheimer's clinical data. Available at: https://www.kaggle.com/datasets/legendahmed/alzheimers-clinical-data,1,0.0,0,0,0,0,0,True,0,
Alzheimer Features,brsdincer/alzheimer-features,,https://www.kaggle.com/datasets/brsdincer/alzheimer-features,2021-03-30T19:38:20.697Z,,Alzheimer Features For Analysis,Kaggle Dataset: Alzheimer Features. Available at: https://www.kaggle.com/datasets/brsdincer/alzheimer-features,1,0.0,0,0,0,0,0,True,0,
diabetesDataAnslysis,willianoliveiragibin/diabetesdataanslysis,,https://www.kaggle.com/datasets/willianoliveiragibin/diabetesdataanslysis,2023-09-27T19:54:22.21Z,,my data analyses about diabets in peoples youngs,Kaggle Dataset: diabetesDataAnslysis. Available at: https://www.kaggle.com/datasets/willianoliveiragibin/diabetesdataanslysis,1,0.0,0,0,0,0,0,True,0,
Patient-level Clinical Drug Trial Data ,dillonmyrick/bells-palsy-clinical-trial,,https://www.kaggle.com/datasets/dillonmyrick/bells-palsy-clinical-trial,2023-09-14T21:39:47.193Z,,Patient-level clinical drug trial data for treatment of facial paralysis,Kaggle Dataset: Patient-level Clinical Drug Trial Data . Available at: https://www.kaggle.com/datasets/dillonmyrick/bells-palsy-clinical-trial,1,0.0,0,0,0,0,0,True,0,
🫀 Heart Disease Dataset,mexwell/heart-disease-dataset,,https://www.kaggle.com/datasets/mexwell/heart-disease-dataset,2024-04-08T09:43:49.93Z,,Comprehensive dataset combined from 5 popular heart disease datasets,Kaggle Dataset: 🫀 Heart Disease Dataset. Available at: https://www.kaggle.com/datasets/mexwell/heart-disease-dataset,1,0.0,0,0,0,0,1,True,0,
COVID-19 trial finder dataset,angadchau/covid19-trial-finder-dataset,,https://www.kaggle.com/datasets/angadchau/covid19-trial-finder-dataset,2021-11-17T18:22:08.243Z,,COVID-related clinical trials,Kaggle Dataset: COVID-19 trial finder dataset. Available at: https://www.kaggle.com/datasets/angadchau/covid19-trial-finder-dataset,1,0.0,0,0,0,0,0,True,0,
Diabetes,ehababoelnaga/diabetes-dataset,,https://www.kaggle.com/datasets/ehababoelnaga/diabetes-dataset,2024-02-29T23:59:23.27Z,,Diabetes data divided into training and testing,Kaggle Dataset: Diabetes. Available at: https://www.kaggle.com/datasets/ehababoelnaga/diabetes-dataset,2,0.0,0,0,0,0,0,True,0,
AIDS Clinical Trials Group Study 175 Dataset,tanshihjen/aids-clinical-trials,,https://www.kaggle.com/datasets/tanshihjen/aids-clinical-trials,2023-12-22T02:12:43.967Z,,"Decoding AIDS Treatments: A Randomized, Double-Blind Phase II/III Trial",Kaggle Dataset: AIDS Clinical Trials Group Study 175 Dataset. Available at: https://www.kaggle.com/datasets/tanshihjen/aids-clinical-trials,1,0.0,0,0,0,0,0,True,0,
Rheumatoid Arthritis Clinical Trial ,ukveteran/rheumatoid-arthritis-clinical-trial,,https://www.kaggle.com/datasets/ukveteran/rheumatoid-arthritis-clinical-trial,2019-10-19T12:26:25.59Z,,,Kaggle Dataset: Rheumatoid Arthritis Clinical Trial . Available at: https://www.kaggle.com/datasets/ukveteran/rheumatoid-arthritis-clinical-trial,1,0.0,0,0,0,0,0,True,0,
"COVID-19 Publications,Datasets & Clinical Trials",shashwatwork/covid19-publicationsdatasets-clinical-trials,,https://www.kaggle.com/datasets/shashwatwork/covid19-publicationsdatasets-clinical-trials,2020-07-24T20:07:54.407Z,,"Dimensions COVID-19 publications, datasets and clinical trials data","Kaggle Dataset: COVID-19 Publications,Datasets & Clinical Trials. Available at: https://www.kaggle.com/datasets/shashwatwork/covid19-publicationsdatasets-clinical-trials",2,0.0,0,0,0,0,0,True,0,
Clinical Notes ,akashadesai/clinical-notes,,https://www.kaggle.com/datasets/akashadesai/clinical-notes,2021-03-20T04:15:50.863Z,,Medical dataset contain all information of paitent.,Kaggle Dataset: Clinical Notes . Available at: https://www.kaggle.com/datasets/akashadesai/clinical-notes,1,0.0,0,0,0,0,0,True,0,
Dermatology Dataset (Multi-class classification),olcaybolat1/dermatology-dataset-classification,,https://www.kaggle.com/datasets/olcaybolat1/dermatology-dataset-classification,2023-05-09T11:21:39.443Z,,The aim is to determine the type of Eryhemato-Squamous Disease.,Kaggle Dataset: Dermatology Dataset (Multi-class classification). Available at: https://www.kaggle.com/datasets/olcaybolat1/dermatology-dataset-classification,1,0.0,0,0,0,0,0,True,0,
Lung Cancer Prediction,rashadrmammadov/lung-cancer-prediction,,https://www.kaggle.com/datasets/rashadrmammadov/lung-cancer-prediction,2024-05-29T14:05:12.197Z,,A comprehensive dataset for predictive modeling of lung cancer prognosis.,Kaggle Dataset: Lung Cancer Prediction. Available at: https://www.kaggle.com/datasets/rashadrmammadov/lung-cancer-prediction,1,0.0,0,0,0,0,0,True,0,
Cardiac Arrest Dataset,iamtanmayshukla/cardiac-arrest-dataset,,https://www.kaggle.com/datasets/iamtanmayshukla/cardiac-arrest-dataset,2025-06-19T18:44:20.507Z,,Cardiac Arrest Dataset by UCI,Kaggle Dataset: Cardiac Arrest Dataset. Available at: https://www.kaggle.com/datasets/iamtanmayshukla/cardiac-arrest-dataset,1,0.0,0,0,0,0,0,True,0,
